titulo,local,data,status,texto
Dificuldade em Habilitar CHAVE DIGITAL (NFC) no iPhone para Dolphin GS 2026,São José do Rio Preto - SP,24/11/2025 às 20:31,Respondida,"Não Consigo Habilitar a CHAVE DIGITAL para utilizar meu IPhone na função NFC. Comprei meu Dolphin GS Modelo 2026 em Agosto/2025 e estou muito satisfeito com o veículo. Mas tem uma situação que preciso reclamar, pois já tentei atendimento na Central da BYD e não resolveram o meu caso.Desde quando comprei, disseram que eu poderia utilizar meu celular (IPhone) como chave digital e nunca consegui. Mas em pesquisas na Internet, percebi que tem alguns casos que os proprietários conseguem utilizar o celular na função NFC. Por que uns tem acesso e outros não??? Por que essa diferenciação de clientes???Fico no aguardo de um posicionamento da BYD. Grato pela atenção."
Atraso Excessivo na Entrega de BYD Dolphin Mini PCD e Falta de Previsão Concreta,Jaraguá do Sul - SC,24/11/2025 às 19:09,Respondida,"No dia 16/09/2025, foi finalizado o pedido de: BYD Dolphin Mini GS5 em nome de *****CNPJ BYD Matriz: *****A venda foi realizada na modalidade PCD com isenção (venda direta).Foi me passado que a entrega seria em no máximo até 60 dias corridos a partir da data da compra (16/09/2025).Já se passaram 68 dias e fui informado pela BYD que não tem ainda uma previsão de data para a entrega, mas a princípio pelo menos mais 60 dias.Vendi meu carro próximo a data que me haviam prometido a entrega, pois usaria o dinheiro para o pagamento do novo veículo. Estou sem carro e isso está me gerando sérios problemas. Não gostaria de cancelar o pedido, e sim que a BYD me desse um prazo correto da entrega do carro dentro de um prazo aceitável e não depois de 68 dias de espera ainda sem uma previsão acertiva, me pedindo mais 60 dias de espera após o vencimento dos 60 dias.Utilizo esse carro para trabalhar, portanto é imprescindível recebê-lo o quanto antes, já que o prazo máximo já foi excedido e me pediram mais uma vez 60 dias."
Garantia do semi eixo negada após relatos não diagnosticados em revisões anteriores,Palhoça - SC,24/11/2025 às 19:06,Respondida,"Na data de hoje 24/11 tive a garantia do semi eixo NEGADA, tendo em vista que na época que relatei ao pós vendas do barulho, onde meu veiculo ficou em concessionária, onde não foi diagnosticado o barulho, porém novamente retornei a concessionária na revisão dos 100 mil e relatei sobre o mesmo, no qual não foi diagnosticado também, decidi ver o que estava acontecendo e de fato era a homocinética do veículo com problemas,e hoje meu veiculo com 114 mil me falaram que tive a negativa da mesma, estou encaminhando o print onde mostra que o relato do barulho já havia sido reclamado muito antes dos ocorridos no dia 4 de junho antes de completar 80 mil km, acho um descaso pois não foram capazes de diagnosticar conforme a própria conversa em whatsapp em anexo."
Atraso na entrega de veículo BYD e falta de suporte do SAC,Cabedelo - PB,24/11/2025 às 17:35,Respondida,"1. Em 05/11/2025, foi realizado o pagamento de R$ 10.000,00 (dez mil reais) a título de sinal, garantindo a reserva do veículo, mediante promessa de entrega até 12/11/2025.2. Em 08/11/2025, efetuei o pagamento do saldo remanescente no valor de R$ 108.000,00 (cento e oito mil reais), ocasião em que novamente me foi prometida a entrega até 10/11/2025.3. Nesta mesma data, foi emitida a Nota Fiscal n *****, pela empresa JRCA Veículos Elétricos S.A.4. No entanto, até 24/11/2025, o veículo não foi entregue, sob a alegação de que o número do chassi do veículo não foi localizado no sistema do DETRAN, problema que, segundo informado, estaria ocorrendo com outros veículos da marca BYD.5. No dia 19/11/2025, entrei em contato com o SAC da BYD, sob o protocolo n *****, porém não obtive qualquer retorno.6. Em razão do atraso injustificado, estou há mais de 10 dias sem veículo, sendo obrigado a alugar um automóvel por conta própria, arcando com despesas adicionais totalmente indevidas e decorrentes exclusivamente do inadimplemento da vendedora."
Promoção de recarga não funciona e saldo promocional não pode ser utilizado.,Caraguatatuba - SP,24/11/2025 às 17:32,Não respondida,"Promoção q me ofereceram 1500 reais em recarga, mais quando vou recarregar nunca dá certo, pede para colocar dinheiro na carteira, e não consigo gastar do saldo da promoção, no caso 1500 reais impossível de gastar"
"BYD Dolphin Mini com defeito na caixa de direção e demora na solução, gerando acidente e insatisfação",Itajaí - SC,24/11/2025 às 17:12,Respondida,"Meu Byd Dolphin Mini com 1 ano de uso apresentou defeitos, levei na autorizada de Itajaí ( praia brava) condenaram a caixa de direção. Eu alertei do defeito no dia 10 de Setembro, agendaram a troca da peça pra dia 15 de dezembro. A lei exigi a solução do problema em 30 dias. mas a Byd não se importa com seu consumidor e nem com o que a lei diz. Sofri um acidente por conta do defeito do carro, meu carro está com zero estabilidade e quando alertei eles não me deram a mínima. Se você assim como eu está querendo migrar para carros elétricos, toma cuidado ao investir nessa marca no meu primeiro problema a empresa me deu um suporte horrível. Pense bem antes de cometer o mesmo erro que eu e investir mais de 100 mil reais em 1 carro que apresenta defeito no seu primeiro ano e a garantia não da importância nenhuma para seu cliente. 4 meses vou passar mais de 4 meses com meu carro estragado. Maior arrependimento da minha vida. Pra piorar ainda pedem 4 dias para resolver um problema que uma terceira da minha cidade resolve no mesmo dia."
Negativa de atendimento ao cliente por não fornecer dados pessoais para cadastro.,São Paulo - SP,24/11/2025 às 16:30,Respondida,"Quis conhecer os automóveis da loja como cliente, no dia 18/10/2025 às 16:20. Recusaram a me atender, simplesmente porque eu não quis fornecer meus dados para cadastro, dados sensíveis como telefones, email, data de nascimento, CPF. Isso é um absurdo, é meu direito de consumidor não passar dados pessoais sensíveis e ainda assim ter o direito de ser atendido."
Falta de disponibilidade para 2 revisão BYD King GS.,Curitiba - PR,24/11/2025 às 16:19,Respondida,"Venho manifestar minha insatisfação quanto à falta de disponibilidade para o agendamento da revisão do meu BYD King GS. Ao tentar marcar a revisão, fui informado de que não há datas próximas, o que me causa grande transtorno, já que a manutenção periódica é essencial para garantir a segurança, a confiabilidade e a preservação da garantia do veículo.Considero inaceitável que um veículo recém-adquirido não tenha atendimento em prazo razoável. Solicito, portanto, uma solução imediata, com a abertura de um horário de revisão em menos dias, conforme determina o bom atendimento ao consumidor e o respeito ao pós-venda.Aguardo um retorno urgente com uma data disponível dentro do menor prazo possível."
Atraso no cadastro do veículo BYD Dolphin Mini impossibilita emplacamento,Jaboatão dos Guararapes - PE,24/11/2025 às 16:04,Respondida,"Comprei um byd dolphin mini 25/26 no dia 30/10/2025 e foi agendada a entrega do veículo no dia 18/11, e para o meu espanto depois da entrega técnica fui comunicado que o a byd não  havia cadastrado o carro e  não poderei emplacar o carro. Entrei em contato com o sac da byd e o que me passaram foi um prazo de 5 dias para resolver esse cadastro. Fiquei indignado, só que o boleto já vai chegar para pagar sem eu está com o carro."
Carro BYD com problemas na caixa de direção,Imperatriz - MA,24/11/2025 às 15:46,Não respondida,Olá boa tarde .Comprei o carro dessa marca faz 05 meses ele já apresentou diversos problemas . Agora mesmo está com a caixa de direção danificada e a concessionária recusa a garantia alegando mal uso sem nenhuma prova . Isso é inadmissível com o cliente que compra um patrimônio com o valor elevado . São diversas reclamação por todo o Brasil a respeito dessa caixa de direção . Uma peça altamente perigosa em caso de quebra . Solicito que a concessionária conceda a garantia .
